feature-1, feature-2, feature-3, class
122, 138, 97, 104, face
132, 151, 116, 98, face
129, 154, 129, 92, face
88, 160, 163, 110, face
138, 147, 151, 98, face
132, 160, 157, 92, face
125, 157, 157, 75, face
129, 154, 144, 92, face
135, 173, 173, 98, face
129, 166, 163, 92, face
141, 138, 154, 104, face
138, 154, 160, 121, face
135, 160, 160, 110, face
122, 226, 210, 185, face
94, 176, 173, 104, face
116, 229, 214, 185, face
122, 229, 210, 173, face
129, 223, 207, 202, face
119, 226, 207, 208, face
113, 226, 214, 208, face
100, 160, 185, 104, face
100, 173, 192, 115, face
113, 192, 198, 115, face
97, 157, 179, 104, face
110, 176, 185, 110, face
78, 179, 166, 127, face
97, 170, 185, 75, face
166, 160, 176, 127, face
166, 160, 179, 121, face
160, 170, 182, 127, face
160, 141, 173, 86, face
144, 141, 173, 98, face
151, 147, 173, 81, face
129, 185, 173, 121, face
125, 195, 166, 133, face
122, 198, 176, 127, face
72, 160, 154, 86, face
88, 210, 151, 115, face
91, 214, 151, 110, face
81, 214, 151, 127, face
88, 217, 160, 110, face
85, 220, 160, 110, face
85, 226, 163, 127, face
88, 204, 129, 127, face
85, 204, 129, 121, face
85, 210, 135, 139, face
78, 173, 138, 23, face
78, 163, 154, 81, face
78, 176, 147, 17, face
72, 188, 141, 34, face
75, 166, 141, 34, face
72, 154, 138, 23, face
72, 173, 141, 34, face
135, 44, 113, 0, face
147, 40, 116, 5, face
129, 44, 113, 5, face
138, 47, 103, 5, face
125, 47, 113, 0, face
78, 176, 160, 92, face
125, 56, 103, 5, face
119, 50, 94, 11, face
119, 53, 97, 17, face
122, 62, 100, 11, face
132, 47, 97, 5, face
129, 37, 100, 11, face
122, 53, 97, 5, face
160, 100, 182, 156, face
154, 103, 185, 156, face
157, 97, 188, 139, face
119, 66, 163, 11, face
160, 179, 198, 150, face
113, 132, 185, 23, face
50, 229, 144, 150, face
31, 226, 151, 133, face
28, 226, 151, 127, face
37, 232, 144, 144, face
50, 220, 138, 104, face
56, 223, 138, 110, face
47, 223, 135, 115, face
44, 195, 129, 81, face
47, 204, 138, 81, face
34, 210, 129, 86, face
129, 116, 185, 75, face
163, 88, 141, 63, face
160, 91, 144, 75, face
157, 85, 132, 52, face
154, 110, 173, 104, face
151, 97, 170, 81, face
151, 110, 179, 86, face
97, 198, 173, 75, face
100, 204, 182, 63, face
100, 220, 188, 92, face
198, 176, 223, 23, face
135, 119, 182, 81, face
182, 163, 220, 17, face
185, 185, 226, 17, face
113, 110, 157, 81, face
113, 113, 170, 75, face
113, 110, 160, 63, face
157, 72, 157, 133, face
157, 72, 157, 133, face
160, 78, 166, 139, face
160, 72, 151, 133, face
160, 72, 157, 133, face
125, 125, 195, 69, face
163, 81, 154, 144, face
195, 59, 141, 127, face
198, 69, 166, 156, face
192, 66, 166, 133, face
116, 56, 125, 46, face
116, 53, 129, 52, face
119, 62, 129, 40, face
122, 56, 125, 46, face
129, 50, 119, 40, face
125, 59, 119, 40, face
132, 85, 129, 63, face
173, 210, 217, 110, face
154, 210, 223, 115, face
160, 210, 217, 115, face
119, 179, 185, 52, face
116, 188, 195, 52, face
113, 198, 185, 63, face
122, 75, 144, 57, face
129, 66, 141, 57, face
122, 69, 135, 52, face
116, 85, 154, 75, face
144, 85, 132, 75, face
122, 81, 154, 69, face
113, 85, 157, 69, face
135, 66, 135, 110, face
138, 56, 132, 98, face
141, 62, 132, 98, face
110, 100, 97, 127, face
119, 116, 113, 121, face
100, 110, 100, 115, face
160, 103, 173, 5, face
144, 100, 176, 11, face
141, 91, 132, 63, face
138, 110, 176, 5, face
163, 100, 179, 17, face
154, 100, 179, 23, face
154, 113, 195, 11, face
72, 163, 160, 133, face
72, 170, 157, 127, face
78, 170, 173, 127, face
88, 173, 138, 214, face
97, 179, 154, 214, face
94, 182, 157, 208, face
119, 157, 195, 34, face
144, 72, 119, 75, face
116, 151, 144, 40, face
125, 163, 147, 34, face
107, 182, 154, 57, face
113, 154, 135, 46, face
116, 163, 144, 46, face
113, 179, 147, 52, face
81, 204, 147, 110, face
85, 207, 154, 104, face
66, 210, 141, 121, face
66, 201, 141, 92, face
154, 75, 129, 92, face
81, 195, 147, 75, face
72, 223, 151, 121, face
88, 173, 160, 104, face
81, 182, 173, 98, face
85, 176, 170, 104, face
132, 129, 125, 162, face
138, 144, 132, 162, face
129, 144, 138, 150, face
144, 103, 113, 179, face
144, 110, 116, 150, face
138, 85, 141, 69, face
132, 119, 116, 162, face
135, 97, 188, 40, face
132, 94, 195, 57, face
138, 103, 192, 46, face
125, 107, 185, 46, face
132, 107, 188, 40, face
119, 116, 198, 52, face
195, 147, 223, 11, face
198, 138, 226, 17, face
173, 151, 220, 5, face
144, 81, 170, 34, face
192, 157, 223, 11, face
188, 144, 220, 17, face
188, 163, 226, 17, face
125, 56, 103, 110, face
135, 62, 113, 127, face
135, 62, 116, 115, face
160, 56, 88, 127, face
144, 56, 91, 127, face
151, 62, 85, 121, face
94, 100, 170, 0, face
141, 88, 179, 34, face
94, 97, 170, 0, face
94, 103, 166, 0, face
116, 75, 147, 5, face
122, 75, 157, 0, face
110, 81, 147, 5, face
50, 198, 151, 173, face
47, 198, 151, 173, face
56, 207, 154, 179, face
110, 185, 173, 127, face
113, 198, 173, 139, face
132, 85, 182, 34, face
94, 198, 179, 133, face
110, 138, 173, 75, face
107, 144, 173, 75, face
116, 144, 176, 57, face
122, 135, 166, 81, face
119, 132, 176, 81, face
119, 151, 182, 63, face
75, 192, 176, 104, face
81, 210, 188, 104, face
81, 210, 185, 110, face
138, 97, 132, 63, face
147, 81, 141, 98, face
157, 78, 141, 98, face
144, 81, 141, 98, face
163, 81, 138, 110, face
151, 75, 141, 104, face
141, 81, 141, 110, face
163, 147, 182, 168, face
125, 160, 201, 28, face
147, 129, 185, 63, face
154, 154, 182, 168, face
151, 154, 185, 168, face
122, 103, 110, 86, face
129, 110, 119, 75, face
138, 119, 116, 92, face
207, 78, 170, 0, face
201, 78, 176, 5, face
201, 94, 176, 0, face
78, 195, 163, 150, face
88, 201, 170, 150, face
147, 122, 188, 57, face
81, 198, 163, 156, face
85, 185, 151, 150, face
94, 195, 157, 144, face
88, 192, 157, 162, face
147, 91, 154, 40, face
144, 88, 160, 46, face
154, 53, 119, 69, face
160, 44, 119, 52, face
163, 56, 132, 57, face
110, 198, 173, 63, face
85, 195, 173, 69, face
122, 88, 157, 115, face
85, 207, 179, 81, face
125, 81, 138, 81, face
135, 75, 138, 81, face
125, 78, 138, 86, face
138, 144, 198, 63, face
144, 135, 201, 52, face
138, 154, 207, 52, face
113, 116, 195, 150, face
103, 129, 198, 156, face
110, 119, 195, 139, face
132, 85, 151, 133, face
122, 135, 151, 110, face
122, 157, 176, 121, face
110, 144, 157, 104, face
122, 147, 160, 144, face
144, 157, 170, 144, face
113, 157, 163, 133, face
135, 88, 119, 173, face
135, 88, 129, 173, face
132, 88, 119, 179, face
116, 157, 185, 46, face
129, 88, 157, 133, face
125, 163, 185, 34, face
122, 173, 185, 52, face
113, 138, 201, 34, face
129, 141, 207, 34, face
116, 147, 204, 34, face
116, 141, 201, 46, face
122, 138, 198, 40, face
119, 141, 207, 46, face
103, 242, 173, 179, face
103, 245, 179, 197, face
129, 182, 201, 40, face
125, 91, 154, 133, face
103, 248, 176, 191, face
107, 160, 185, 63, face
113, 157, 192, 69, face
113, 170, 182, 86, face
132, 62, 94, 92, face
110, 147, 166, 40, face
129, 135, 214, 40, face
138, 144, 204, 75, face
135, 138, 201, 63, face
119, 141, 201, 69, face
151, 69, 154, 17, face
154, 69, 151, 11, face
147, 72, 157, 23, face
147, 62, 147, 11, face
147, 59, 154, 11, face
151, 66, 154, 11, face
122, 147, 160, 133, face
129, 56, 113, 11, face
141, 56, 125, 11, face
129, 59, 116, 11, face
116, 100, 113, 34, face
119, 125, 132, 46, face
116, 129, 122, 52, face
125, 91, 103, 28, face
110, 100, 107, 40, face
122, 110, 116, 46, face
135, 103, 138, 69, face
129, 144, 163, 115, face
144, 110, 141, 75, face
138, 113, 132, 69, face
85, 188, 176, 139, face
88, 204, 188, 139, face
85, 214, 192, 139, face
103, 97, 157, 5, face
103, 94, 154, 5, face
100, 103, 157, 5, face
135, 132, 147, 63, face
119, 125, 147, 40, face
125, 151, 170, 110, face
119, 151, 151, 46, face
144, 135, 144, 46, face
132, 132, 170, 23, face
129, 160, 173, 28, face
141, 147, 160, 46, face
132, 135, 163, 40, face
144, 154, 170, 28, face
100, 129, 141, 98, face
94, 132, 151, 110, face
122, 135, 179, 0, face
100, 132, 157, 92, face
144, 144, 182, 34, face
151, 144, 192, 23, face
135, 154, 182, 23, face
151, 141, 182, 69, face
154, 135, 182, 52, face
141, 151, 182, 57, face
94, 182, 125, 69, face
103, 185, 135, 69, face
88, 201, 132, 92, face
135, 129, 182, 46, face
110, 138, 220, 86, face
113, 132, 220, 98, face
100, 138, 223, 81, face
166, 116, 154, 127, face
166, 116, 154, 127, face
154, 119, 157, 133, face
147, 97, 170, 86, face
154, 97, 173, 86, face
141, 107, 166, 86, face
147, 116, 166, 69, face
135, 132, 179, 63, face
141, 116, 182, 63, face
138, 132, 185, 75, face
154, 122, 170, 115, face
147, 129, 179, 110, face
151, 129, 182, 110, face
141, 69, 110, 121, face
151, 81, 110, 115, face
147, 72, 110, 104, face
100, 176, 157, 110, face
110, 170, 166, 92, face
122, 147, 182, 57, face
107, 182, 163, 110, face
113, 182, 157, 121, face
113, 182, 160, 127, face
100, 185, 157, 110, face
113, 173, 170, 98, face
113, 100, 132, 23, face
125, 88, 132, 23, face
116, 103, 132, 23, face
116, 88, 129, 46, face
122, 91, 129, 52, face
110, 91, 125, 34, face
88, 185, 170, 69, face
31, 232, 195, 197, non-face
116, 232, 160, 237, non-face
97, 188, 179, 214, non-face
251, 122, 179, 17, non-face
85, 232, 192, 255, non-face
78, 239, 163, 255, non-face
110, 248, 179, 237, non-face
229, 135, 163, 5, non-face
125, 201, 110, 121, non-face
40, 220, 129, 173, non-face
85, 0, 50, 17, non-face
40, 201, 132, 46, non-face
166, 69, 116, 0, non-face
255, 44, 173, 0, non-face
75, 138, 160, 63, non-face
157, 81, 129, 75, non-face
75, 144, 113, 255, non-face
94, 210, 125, 168, non-face
182, 40, 125, 23, non-face
119, 220, 204, 231, non-face
31, 232, 170, 243, non-face
116, 9, 40, 104, non-face
166, 44, 85, 104, non-face
151, 129, 97, 127, non-face
59, 81, 88, 46, non-face
103, 107, 91, 46, non-face
122, 97, 122, 28, non-face
138, 97, 66, 0, non-face
15, 192, 91, 139, non-face
110, 122, 113, 69, non-face
75, 198, 173, 220, non-face
75, 163, 166, 150, non-face
103, 195, 157, 208, non-face
75, 129, 91, 127, non-face
103, 116, 88, 127, non-face
135, 94, 88, 5, non-face
157, 44, 75, 144, non-face
100, 214, 192, 173, non-face
47, 217, 85, 179, non-face
147, 94, 119, 34, non-face
176, 62, 59, 52, non-face
147, 176, 125, 92, non-face
116, 147, 94, 173, non-face
94, 173, 135, 104, non-face
107, 25, 66, 139, non-face
163, 66, 85, 69, non-face
100, 198, 173, 57, non-face
72, 75, 56, 133, non-face
179, 138, 135, 127, non-face
81, 31, 122, 52, non-face
119, 214, 195, 208, non-face
144, 50, 160, 5, non-face
28, 210, 119, 168, non-face
170, 66, 66, 0, non-face
22, 239, 195, 249, non-face
204, 125, 160, 98, non-face
88, 81, 125, 185, non-face
91, 97, 129, 133, non-face
141, 75, 78, 40, non-face
160, 72, 62, 0, non-face
125, 173, 163, 133, non-face
81, 160, 116, 255, non-face
66, 201, 160, 179, non-face
103, 179, 154, 208, non-face
97, 198, 157, 255, non-face
132, 147, 170, 179, non-face
88, 195, 132, 162, non-face
166, 154, 198, 63, non-face
66, 255, 182, 255, non-face
147, 103, 107, 11, non-face
210, 34, 157, 0, non-face
94, 125, 201, 17, non-face
28, 255, 170, 255, non-face
160, 66, 66, 208, non-face
97, 151, 170, 226, non-face
129, 103, 110, 57, non-face
110, 125, 176, 92, non-face
176, 56, 88, 0, non-face
62, 119, 91, 75, non-face
135, 255, 198, 255, non-face
119, 132, 185, 81, non-face
170, 97, 129, 57, non-face
88, 132, 66, 0, non-face
88, 75, 72, 92, non-face
226, 110, 138, 92, non-face
122, 242, 179, 243, non-face
119, 125, 116, 92, non-face
85, 255, 170, 255, non-face
85, 255, 173, 255, non-face
144, 132, 154, 81, non-face
119, 107, 157, 0, non-face
72, 97, 141, 0, non-face
147, 22, 125, 0, non-face
151, 72, 110, 0, non-face
223, 6, 85, 0, non-face
195, 3, 103, 11, non-face
69, 78, 50, 156, non-face
85, 192, 185, 110, non-face
100, 129, 144, 168, non-face
132, 170, 239, 139, non-face
179, 15, 122, 11, non-face
88, 192, 151, 92, non-face
122, 147, 188, 197, non-face
179, 34, 132, 17, non-face
182, 138, 255, 5, non-face
255, 50, 166, 5, non-face
59, 185, 195, 75, non-face
44, 113, 103, 121, non-face
94, 170, 195, 17, non-face
25, 198, 201, 191, non-face
129, 232, 160, 127, non-face
160, 53, 129, 0, non-face
81, 185, 163, 115, non-face
110, 47, 103, 28, non-face
195, 15, 97, 23, non-face
129, 122, 154, 0, non-face
59, 107, 119, 121, non-face
59, 170, 103, 156, non-face
37, 185, 97, 173, non-face
85, 113, 103, 104, non-face
81, 100, 119, 98, non-face
22, 182, 97, 156, non-face
220, 53, 135, 0, non-face
135, 85, 110, 127, non-face
37, 151, 154, 179, non-face
103, 50, 135, 0, non-face
135, 62, 204, 28, non-face
103, 44, 56, 23, non-face
62, 176, 97, 144, non-face
94, 166, 144, 92, non-face
132, 214, 185, 92, non-face
110, 31, 40, 75, non-face
138, 144, 103, 156, non-face
66, 53, 129, 52, non-face
62, 103, 170, 5, non-face
182, 147, 185, 17, non-face
195, 34, 135, 46, non-face
198, 103, 154, 5, non-face
103, 110, 81, 0, non-face
72, 125, 163, 40, non-face
132, 28, 37, 34, non-face
94, 182, 170, 75, non-face
154, 56, 157, 0, non-face
78, 185, 141, 127, non-face
157, 22, 132, 0, non-face
88, 129, 97, 5, non-face
81, 154, 201, 92, non-face
151, 72, 154, 0, non-face
122, 66, 176, 0, non-face
47, 214, 147, 92, non-face
97, 144, 166, 121, non-face
154, 129, 160, 46, non-face
97, 6, 88, 81, non-face
100, 125, 113, 17, non-face
144, 97, 107, 92, non-face
81, 163, 179, 104, non-face
141, 129, 185, 34, non-face
132, 192, 81, 191, non-face
110, 40, 40, 63, non-face
185, 53, 119, 0, non-face
107, 100, 132, 0, non-face
69, 242, 141, 156, non-face
0, 255, 129, 156, non-face
129, 192, 144, 133, non-face
141, 141, 110, 150, non-face
176, 163, 138, 81, non-face
110, 192, 151, 162, non-face
157, 116, 107, 150, non-face
75, 251, 192, 255, non-face
31, 122, 103, 28, non-face
113, 116, 94, 46, non-face
94, 47, 72, 63, non-face
100, 154, 97, 57, non-face
66, 119, 188, 40, non-face
154, 226, 198, 162, non-face
144, 226, 198, 156, non-face
179, 204, 220, 226, non-face
135, 81, 157, 0, non-face
28, 119, 119, 139, non-face
125, 69, 163, 17, non-face
179, 25, 151, 17, non-face
125, 147, 141, 28, non-face
226, 59, 173, 40, non-face
170, 141, 122, 23, non-face
210, 18, 141, 115, non-face
207, 18, 141, 127, non-face
138, 141, 210, 197, non-face
154, 34, 176, 11, non-face
195, 217, 229, 75, non-face
220, 22, 173, 104, non-face
0, 47, 40, 0, non-face
236, 12, 173, 110, non-face
100, 198, 103, 226, non-face
85, 179, 220, 255, non-face
6, 31, 28, 0, non-face
248, 3, 135, 0, non-face
103, 75, 226, 5, non-face
88, 160, 192, 34, non-face
157, 125, 125, 86, non-face
147, 88, 239, 0, non-face
207, 50, 185, 0, non-face
255, 44, 166, 34, non-face
6, 251, 157, 156, non-face
255, 47, 151, 127, non-face
56, 255, 223, 185, non-face
207, 107, 242, 46, non-face
59, 75, 129, 92, non-face
255, 110, 179, 0, non-face
255, 66, 198, 46, non-face
85, 100, 185, 69, non-face
239, 78, 88, 40, non-face
255, 56, 138, 69, non-face
179, 66, 113, 63, non-face
255, 66, 198, 127, non-face
170, 160, 78, 173, non-face
255, 88, 201, 40, non-face
122, 107, 141, 0, non-face
138, 113, 113, 104, non-face
135, 116, 122, 127, non-face
147, 141, 132, 168, non-face
255, 72, 204, 46, non-face
119, 147, 141, 121, non-face
129, 88, 160, 57, non-face
116, 201, 182, 156, non-face
166, 138, 217, 220, non-face
122, 151, 135, 144, non-face
18, 226, 163, 185, non-face
147, 100, 135, 63, non-face
201, 141, 173, 231, non-face
248, 125, 207, 214, non-face
81, 66, 18, 5, non-face
3, 242, 160, 110, non-face
59, 154, 125, 28, non-face
62, 220, 198, 69, non-face
157, 132, 125, 133, non-face
119, 160, 132, 150, non-face
12, 214, 107, 220, non-face
179, 94, 170, 28, non-face
170, 59, 154, 92, non-face
40, 176, 116, 115, non-face
229, 116, 176, 0, non-face
229, 116, 173, 5, non-face
12, 179, 173, 150, non-face
173, 53, 151, 11, non-face
176, 113, 170, 191, non-face
50, 236, 201, 162, non-face
22, 176, 192, 86, non-face
195, 110, 195, 0, non-face
188, 103, 113, 0, non-face
173, 110, 110, 5, non-face
157, 116, 147, 28, non-face
166, 116, 179, 34, non-face
166, 116, 195, 11, non-face
170, 110, 132, 0, non-face
170, 122, 135, 0, non-face
245, 166, 217, 17, non-face
53, 229, 125, 243, non-face
125, 151, 132, 5, non-face
9, 229, 188, 185, non-face
163, 226, 188, 255, non-face
119, 25, 144, 28, non-face
160, 122, 138, 40, non-face
85, 113, 132, 115, non-face
185, 119, 138, 81, non-face
129, 141, 179, 179, non-face
147, 125, 223, 139, non-face
141, 119, 217, 121, non-face
129, 78, 53, 28, non-face
122, 94, 195, 179, non-face
135, 147, 170, 197, non-face
154, 66, 176, 86, non-face
125, 207, 188, 179, non-face
179, 59, 138, 144, non-face
122, 204, 192, 150, non-face
147, 47, 88, 98, non-face
107, 119, 72, 81, non-face
75, 192, 170, 191, non-face
113, 88, 103, 197, non-face
91, 129, 141, 202, non-face
204, 31, 129, 69, non-face
144, 75, 144, 133, non-face
204, 78, 163, 0, non-face
201, 31, 185, 0, non-face
204, 81, 157, 17, non-face
88, 182, 129, 243, non-face
3, 198, 151, 139, non-face
125, 72, 135, 162, non-face
97, 154, 132, 121, non-face
255, 157, 210, 57, non-face
182, 0, 50, 5, non-face
204, 15, 69, 11, non-face
147, 173, 166, 104, non-face
81, 163, 129, 202, non-face
232, 113, 151, 5, non-face
34, 192, 138, 115, non-face
22, 176, 107, 208, non-face
100, 166, 160, 98, non-face
72, 132, 173, 121, non-face
47, 182, 192, 86, non-face
157, 40, 201, 17, non-face
166, 40, 138, 121, non-face
198, 94, 214, 98, non-face
125, 129, 185, 0, non-face
220, 91, 185, 110, non-face
151, 113, 182, 23, non-face
151, 132, 157, 28, non-face
81, 154, 138, 139, non-face
179, 56, 188, 23, non-face
69, 223, 204, 197, non-face
62, 116, 166, 168, non-face
78, 132, 179, 220, non-face
144, 151, 198, 150, non-face
160, 138, 160, 46, non-face
81, 176, 195, 40, non-face
220, 85, 173, 28, non-face
78, 154, 129, 144, non-face
147, 144, 97, 81, non-face
116, 179, 214, 40, non-face
0, 207, 78, 255, non-face
15, 135, 75, 168, non-face
0, 198, 97, 255, non-face
94, 113, 135, 52, non-face
91, 122, 97, 208, non-face
226, 135, 229, 173, non-face
135, 214, 154, 150, non-face
173, 91, 141, 28, non-face
195, 81, 157, 28, non-face
85, 176, 166, 92, non-face
236, 15, 166, 11, non-face
217, 116, 125, 5, non-face
141, 125, 170, 168, non-face
201, 129, 113, 57, non-face
47, 135, 100, 162, non-face
100, 157, 138, 11, non-face
34, 182, 100, 220, non-face
0, 226, 119, 191, non-face
40, 166, 107, 202, non-face
129, 113, 138, 0, non-face
69, 163, 179, 144, non-face
78, 217, 157, 173, non-face
217, 81, 132, 40, non-face
100, 119, 75, 173, non-face
28, 255, 192, 208, non-face
147, 116, 103, 92, non-face
154, 138, 255, 34, non-face
25, 125, 110, 52, non-face
107, 132, 53, 121, non-face
198, 144, 170, 162, non-face
179, 138, 179, 104, non-face
85, 204, 100, 249, non-face
201, 103, 72, 110, non-face
170, 192, 173, 179, non-face
125, 151, 100, 179, non-face
242, 75, 78, 156, non-face
204, 47, 125, 11, non-face
129, 255, 176, 185, non-face
125, 185, 157, 144, non-face
91, 220, 192, 144, non-face
69, 179, 179, 185, non-face
110, 62, 100, 5, non-face
147, 97, 135, 52, non-face
44, 236, 198, 226, non-face
135, 135, 110, 208, non-face
91, 119, 138, 98, non-face
188, 151, 66, 127, non-face
78, 195, 170, 179, non-face
135, 188, 248, 75, non-face
132, 210, 232, 98, non-face
135, 163, 110, 104, non-face
154, 141, 166, 162, non-face
151, 132, 72, 98, non-face
138, 144, 72, 104, non-face
176, 173, 166, 81, non-face
255, 53, 198, 0, non-face
255, 75, 132, 57, non-face
239, 72, 151, 104, non-face
255, 85, 163, 0, non-face
229, 47, 116, 23, non-face
113, 78, 81, 208, non-face
66, 9, 66, 121, non-face
255, 75, 166, 0, non-face
214, 107, 135, 202, non-face
34, 192, 154, 150, non-face
72, 75, 103, 98, non-face
188, 31, 125, 0, non-face
185, 66, 185, 5, non-face
94, 97, 113, 11, non-face
110, 160, 239, 0, non-face
138, 154, 151, 81, non-face
9, 75, 40, 249, non-face
220, 78, 138, 133, non-face
116, 56, 66, 86, non-face
185, 40, 107, 156, non-face
166, 85, 3, 208, non-face
119, 154, 47, 255, non-face
66, 119, 22, 63, non-face
72, 113, 69, 150, non-face
163, 15, 103, 11, non-face
195, 31, 157, 92, non-face
97, 0, 0, 0, non-face
100, 88, 56, 34, non-face
226, 119, 179, 5, non-face
214, 207, 179, 81, non-face
232, 9, 88, 156, non-face
255, 9, 135, 139, non-face
255, 6, 141, 110, non-face
94, 198, 85, 92, non-face
179, 157, 217, 214, non-face
255, 40, 166, 17, non-face
255, 31, 170, 17, non-face
255, 0, 144, 11, non-face
255, 78, 170, 0, non-face
255, 28, 170, 5, non-face
129, 229, 236, 202, non-face
255, 37, 204, 81, non-face
217, 0, 44, 0, non-face
160, 113, 72, 0, non-face
210, 248, 248, 173, non-face
6, 3, 12, 133, non-face
255, 28, 141, 156, non-face
37, 198, 85, 92, non-face
113, 44, 100, 0, non-face
248, 91, 176, 0, non-face
226, 151, 220, 0, non-face
81, 176, 125, 191, non-face
6, 66, 72, 226, non-face
195, 122, 147, 197, non-face
242, 69, 151, 133, non-face
157, 110, 166, 115, non-face
107, 28, 3, 28, non-face
170, 47, 88, 162, non-face
214, 56, 50, 214, non-face
81, 122, 3, 249, non-face
110, 151, 40, 255, non-face
81, 195, 135, 237, non-face
25, 182, 75, 150, non-face
53, 147, 40, 231, non-face
122, 22, 47, 23, non-face
201, 6, 110, 17, non-face
198, 25, 170, 104, non-face
119, 91, 88, 185, non-face
107, 0, 0, 0, non-face
125, 3, 0, 0, non-face
113, 97, 31, 75, non-face
88, 107, 94, 75, non-face
50, 129, 94, 115, non-face
53, 59, 97, 98, non-face
18, 0, 3, 0, non-face
255, 44, 170, 150, non-face
255, 72, 223, 139, non-face
255, 28, 195, 98, non-face
198, 141, 47, 46, non-face
129, 220, 232, 150, non-face
255, 97, 138, 0, non-face
255, 113, 242, 0, non-face
255, 88, 201, 0, non-face
255, 47, 214, 0, non-face
255, 78, 210, 11, non-face
251, 138, 207, 17, non-face
255, 66, 198, 5, non-face
255, 56, 226, 5, non-face
107, 242, 201, 115, non-face
72, 122, 47, 104, non-face
255, 53, 192, 127, non-face
201, 66, 107, 0, non-face
195, 69, 135, 0, non-face
154, 232, 182, 104, non-face
69, 0, 0, 0, non-face
251, 72, 166, 208, non-face
255, 119, 214, 237, non-face
255, 53, 141, 168, non-face
56, 154, 40, 46, non-face
113, 255, 255, 231, non-face
255, 22, 173, 52, non-face
173, 0, 3, 0, non-face
107, 0, 0, 0, non-face
78, 151, 103, 11, non-face
207, 232, 232, 168, non-face
50, 22, 44, 179, non-face
185, 91, 151, 191, non-face
255, 53, 166, 191, non-face
88, 154, 53, 52, non-face
113, 255, 255, 231, non-face
255, 245, 239, 255, non-face
223, 223, 251, 255, non-face
220, 157, 151, 249, non-face
255, 154, 220, 202, non-face
229, 110, 201, 191, non-face
236, 245, 226, 231, non-face
255, 170, 248, 121, non-face
255, 154, 236, 220, non-face
0, 88, 0, 214, non-face
0, 75, 18, 243, non-face
236, 0, 69, 63, non-face
107, 56, 3, 110, non-face
0, 28, 0, 150, non-face
0, 100, 6, 17, non-face
0, 255, 119, 208, non-face
28, 69, 132, 168, non-face
15, 59, 25, 69, non-face
0, 125, 28, 173, non-face
0, 3, 3, 150, non-face
113, 214, 255, 144, non-face
236, 255, 248, 191, non-face
163, 239, 223, 255, non-face
185, 220, 163, 255, non-face
245, 198, 192, 255, non-face
251, 201, 210, 255, non-face
217, 217, 229, 255, non-face
255, 129, 214, 121, non-face
251, 116, 248, 144, non-face
25, 214, 160, 255, non-face
69, 40, 192, 110, non-face
204, 0, 31, 63, non-face
22, 113, 85, 0, non-face
53, 22, 129, 0, non-face
9, 116, 0, 34, non-face
47, 242, 217, 202, non-face
242, 69, 116, 185, non-face
170, 22, 25, 23, non-face
56, 160, 195, 11, non-face
116, 163, 144, 104, non-face
0, 147, 72, 173, non-face
0, 166, 85, 115, non-face
0, 116, 47, 144, non-face
0, 69, 31, 121, non-face
0, 119, 25, 69, non-face
44, 47, 75, 86, non-face
255, 119, 255, 17, non-face
255, 113, 239, 17, non-face
255, 122, 248, 0, non-face
255, 72, 170, 104, non-face
255, 12, 94, 92, non-face
129, 22, 37, 46, non-face
0, 94, 12, 185, non-face
85, 0, 0, 115, non-face
6, 179, 25, 104, non-face
81, 229, 217, 121, non-face
220, 94, 198, 220, non-face
147, 50, 69, 168, non-face
154, 18, 81, 0, non-face
229, 122, 179, 0, non-face
198, 31, 160, 11, non-face
113, 81, 91, 98, non-face
157, 94, 135, 179, non-face
144, 3, 100, 127, non-face
226, 6, 72, 0, non-face
239, 91, 157, 11, non-face
201, 125, 110, 11, non-face
176, 125, 144, 98, non-face
179, 25, 75, 57, non-face
100, 116, 154, 168, non-face
201, 81, 129, 173, non-face
141, 94, 15, 150, non-face
12, 232, 182, 197, non-face
85, 34, 72, 208, non-face
0, 210, 94, 133, non-face
116, 141, 185, 81, non-face
229, 85, 210, 52, non-face
220, 122, 157, 69, non-face
97, 182, 107, 255, non-face
9, 185, 69, 162, non-face
91, 242, 107, 162, non-face
0, 255, 154, 255, non-face
37, 188, 163, 255, non-face
107, 107, 129, 249, non-face
94, 12, 3, 168, non-face
129, 119, 66, 156, non-face
195, 107, 72, 110, non-face
207, 125, 166, 214, non-face
226, 6, 66, 144, non-face
201, 129, 166, 197, non-face
163, 141, 100, 144, non-face
113, 97, 144, 231, non-face
53, 201, 154, 46, non-face
188, 214, 182, 214, non-face
12, 62, 78, 220, non-face
144, 66, 113, 5, non-face
214, 0, 59, 0, non-face
116, 151, 75, 57, non-face
166, 81, 239, 63, non-face
179, 12, 75, 0, non-face
110, 72, 94, 0, non-face
154, 132, 201, 0, non-face
255, 157, 245, 0, non-face
188, 214, 201, 121, non-face
97, 163, 125, 255, non-face
3, 103, 34, 255, non-face
18, 138, 132, 197, non-face
135, 154, 214, 162, non-face
173, 107, 138, 127, non-face
135, 163, 217, 226, non-face
129, 116, 69, 110, non-face
141, 100, 198, 208, non-face
72, 22, 44, 28, non-face
170, 151, 192, 0, non-face
220, 44, 188, 0, non-face
163, 9, 91, 23, non-face
198, 0, 97, 0, non-face
214, 56, 110, 0, non-face
204, 25, 110, 0, non-face
100, 53, 91, 23, non-face
170, 107, 154, 5, non-face
160, 94, 151, 0, non-face
255, 22, 160, 0, non-face
125, 147, 251, 197, non-face
